study_id,series_id,general_path_to_Axial,general_path_to_Sagittal_T1,general_path_to_Sagittal_T2
4003253,2448190387,train_images/4003253/2448190387,train_images/4003253/1054713880,train_images/4003253/702807833
4646740,3201256954,train_images/4646740/3201256954,train_images/4646740/3486248476,train_images/4646740/3666319702
7143189,1951927562,train_images/7143189/1951927562,train_images/7143189/3219733239,train_images/7143189/132939515
8785691,2406919186,train_images/8785691/2406919186,train_images/8785691/1570286759,train_images/8785691/481125819
10728036,142859125,train_images/10728036/142859125,train_images/10728036/2399638375,train_images/10728036/3491739931
11340341,1224932122,train_images/11340341/1224932122,train_images/11340341/2231042680,train_images/11340341/3543553307
11943292,403244853,train_images/11943292/403244853,train_images/11943292/1212326388,train_images/11943292/1638921810
13317052,2500166693,train_images/13317052/2500166693,train_images/13317052/1539051863,train_images/13317052/2677627096
22191399,3687121182,train_images/22191399/3687121182,train_images/22191399/434280813,train_images/22191399/3753885158
26342422,307069509,train_images/26342422/307069509,train_images/26342422/226564374,train_images/26342422/2528347280
29931867,231278500,train_images/29931867/231278500,train_images/29931867/1152175603,train_images/29931867/1676821058
33736057,1847558962,train_images/33736057/1847558962,train_images/33736057/758801267,train_images/33736057/1379151387
38281420,1178941473,train_images/38281420/1178941473,train_images/38281420/2565838687,train_images/38281420/880361156
40745534,1395478236,train_images/40745534/1395478236,train_images/40745534/2948359731,train_images/40745534/3918681171
41477684,3749739759,train_images/41477684/3749739759,train_images/41477684/3009399271,train_images/41477684/2595734107
44060036,2320605986,train_images/44060036/2320605986,train_images/44060036/1034241723,train_images/44060036/3294158542
46494080,1543341132,train_images/46494080/1543341132,train_images/46494080/4061588226,train_images/46494080/1763376930
52397721,3220885418,train_images/52397721/3220885418,train_images/52397721/2770638094,train_images/52397721/2452297573
52695609,3778925627,train_images/52695609/3778925627,train_images/52695609/3284178089,train_images/52695609/32135551
53418228,1921001089,train_images/53418228/1921001089,train_images/53418228/345993377,train_images/53418228/2698575616
58813022,302608236,train_images/58813022/302608236,train_images/58813022/692718517,train_images/58813022/3875372861
59576878,2414228193,train_images/59576878/2414228193,train_images/59576878/1786504756,train_images/59576878/1757508642
60612428,3446457669,train_images/60612428/3446457669,train_images/60612428/661972121,train_images/60612428/2349970136
63725508,1069611138,train_images/63725508/1069611138,train_images/63725508/1547488253,train_images/63725508/2144061947
64092030,1924652166,train_images/64092030/1924652166,train_images/64092030/3762658078,train_images/64092030/1233796867
69086098,475539618,train_images/69086098/475539618,train_images/69086098/2449982462,train_images/69086098/1872368754
70878995,3493432031,train_images/70878995/3493432031,train_images/70878995/2807935482,train_images/70878995/3022642562
71973234,1858127754,train_images/71973234/1858127754,train_images/71973234/1433976441,train_images/71973234/2627968392
73783367,1885677897,train_images/73783367/1885677897,train_images/73783367/2087785373,train_images/73783367/2639788488
74294498,3742439825,train_images/74294498/3742439825,train_images/74294498/3485741709,train_images/74294498/507422603
74782131,3401861580,train_images/74782131/3401861580,train_images/74782131/2762032004,train_images/74782131/2676982925
75336136,3843947211,train_images/75336136/3843947211,train_images/75336136/1335435066,train_images/75336136/779328287
76438935,2212277614,train_images/76438935/2212277614,train_images/76438935/3960750582,train_images/76438935/3320474714
82066307,716781115,train_images/82066307/716781115,train_images/82066307/3966938697,train_images/82066307/2003554076
85480902,272934052,train_images/85480902/272934052,train_images/85480902/902386811,train_images/85480902/3748857198
86250890,1607180289,train_images/86250890/1607180289,train_images/86250890/300671486,train_images/86250890/1512847824
87937369,702915520,train_images/87937369/702915520,train_images/87937369/234828727,train_images/87937369/4096023265
88465004,2838498199,train_images/88465004/2838498199,train_images/88465004/3579504941,train_images/88465004/4105999208
89637298,2188742243,train_images/89637298/2188742243,train_images/89637298/666691702,train_images/89637298/2396960759
90711686,1614973506,train_images/90711686/1614973506,train_images/90711686/750049445,train_images/90711686/1968835546
92407737,3171012716,train_images/92407737/3171012716,train_images/92407737/266051971,train_images/92407737/2146003039
92565488,1955152875,train_images/92565488/1955152875,train_images/92565488/1063025652,train_images/92565488/1212091506
96439573,1359869694,train_images/96439573/1359869694,train_images/96439573/557434766,train_images/96439573/296385739
97086905,2413491771,train_images/97086905/2413491771,train_images/97086905/2734164627,train_images/97086905/3554969526
97634230,1763367570,train_images/97634230/1763367570,train_images/97634230/3354355391,train_images/97634230/3235809257
100206310,1012284084,train_images/100206310/1012284084,train_images/100206310/2092806862,train_images/100206310/1792451510
105895264,1796707037,train_images/105895264/1796707037,train_images/105895264/3528018752,train_images/105895264/1073066831
106310815,3073372931,train_images/106310815/3073372931,train_images/106310815/2365055639,train_images/106310815/2473102710
107698245,1569834499,train_images/107698245/1569834499,train_images/107698245/2063106893,train_images/107698245/775826550
107935613,729255173,train_images/107935613/729255173,train_images/107935613/2724788286,train_images/107935613/1330632676
108348787,1437737002,train_images/108348787/1437737002,train_images/108348787/1964356067,train_images/108348787/712395787
109454808,294363523,train_images/109454808/294363523,train_images/109454808/2759921780,train_images/109454808/2980968884
109677683,107963340,train_images/109677683/107963340,train_images/109677683/1241324984,train_images/109677683/714837857
110271740,2337037187,train_images/110271740/2337037187,train_images/110271740/688365235,train_images/110271740/1709508308
111701877,1920224774,train_images/111701877/1920224774,train_images/111701877/1790066392,train_images/111701877/1765709605
112166434,566852271,train_images/112166434/566852271,train_images/112166434/626858322,train_images/112166434/2665773591
113121178,560663154,train_images/113121178/560663154,train_images/113121178/1716134218,train_images/113121178/577886028
113758629,2079378095,train_images/113758629/2079378095,train_images/113758629/2106961807,train_images/113758629/2635875824
114899184,1364910156,train_images/114899184/1364910156,train_images/114899184/1409087674,train_images/114899184/3820695137
115990621,1678668192,train_images/115990621/1678668192,train_images/115990621/3576611716,train_images/115990621/3935744907
117720278,290800562,train_images/117720278/290800562,train_images/117720278/4077718798,train_images/117720278/2514759683
123154253,1275242196,train_images/123154253/1275242196,train_images/123154253/2257413721,train_images/123154253/4271884581
128125626,1524869432,train_images/128125626/1524869432,train_images/128125626/2441473456,train_images/128125626/3622702637
135073898,1169041427,train_images/135073898/1169041427,train_images/135073898/4230707886,train_images/135073898/4223079384
140799588,3320497433,train_images/140799588/3320497433,train_images/140799588/3885989652,train_images/140799588/2856626717
142991438,56615998,train_images/142991438/56615998,train_images/142991438/3468872412,train_images/142991438/3492102863
144244752,1370876344,train_images/144244752/1370876344,train_images/144244752/155060453,train_images/144244752/3076432418
145324113,3485061318,train_images/145324113/3485061318,train_images/145324113/2649860775,train_images/145324113/3203860945
150368852,2881422190,train_images/150368852/2881422190,train_images/150368852/2793891073,train_images/150368852/3359692331
153831832,1455727141,train_images/153831832/1455727141,train_images/153831832/3619902,train_images/153831832/2054214528
155064828,1080671136,train_images/155064828/1080671136,train_images/155064828/2529511767,train_images/155064828/2925163235
158640056,2018937652,train_images/158640056/2018937652,train_images/158640056/1910037242,train_images/158640056/2283682744
159099003,2790625391,train_images/159099003/2790625391,train_images/159099003/195504524,train_images/159099003/233087057
159721286,107069089,train_images/159721286/107069089,train_images/159721286/4204680939,train_images/159721286/1040667739
165018059,407148354,train_images/165018059/407148354,train_images/165018059/4070586967,train_images/165018059/3900821003
166255118,1665536927,train_images/166255118/1665536927,train_images/166255118/2949449967,train_images/166255118/1714612093
168470924,2426018610,train_images/168470924/2426018610,train_images/168470924/2270579215,train_images/168470924/969764936
168833126,4091299109,train_images/168833126/4091299109,train_images/168833126/1265210202,train_images/168833126/3869036606
169651375,1334759429,train_images/169651375/1334759429,train_images/169651375/4203535313,train_images/169651375/2625052739
176605889,3051060715,train_images/176605889/3051060715,train_images/176605889/562357601,train_images/176605889/2128384250
177339056,2353921256,train_images/177339056/2353921256,train_images/177339056/3869214210,train_images/177339056/3723543647
178041181,530141745,train_images/178041181/530141745,train_images/178041181/3904103024,train_images/178041181/2495441739
178651310,605323652,train_images/178651310/605323652,train_images/178651310/3463008997,train_images/178651310/2463295410
180341550,2035019453,train_images/180341550/2035019453,train_images/180341550/1513094794,train_images/180341550/2958238677
181779472,1749277867,train_images/181779472/1749277867,train_images/181779472/2269463694,train_images/181779472/1708812115
