study_id,series_id,instance_number,x,y,w,h,side
4003253,2448190387,3,167.9264478764479,150.03552123552126,22.399999999999977,22.399999999999977,right
4003253,2448190387,4,134.08877148997135,147.4246418338109,22.399999999999977,22.399999999999977,left
4003253,2448190387,11,169.77972972972972,147.5644787644788,22.399999999999977,22.399999999999977,right
4003253,2448190387,11,134.7000417860554,145.89646609360076,22.399999999999977,22.399999999999977,left
4003253,2448190387,19,164.83764478764482,146.32895752895755,22.399999999999977,22.399999999999977,right
4003253,2448190387,19,131.64369030563515,144.9795606494747,22.399999999999977,22.399999999999977,left
4003253,2448190387,28,161.74884169884172,145.71119691119694,22.399999999999977,22.399999999999977,right
4003253,2448190387,28,136.22821752626552,146.81337153772685,22.399999999999977,22.399999999999977,left
4003253,2448190387,35,168.5442084942085,150.65328185328187,22.399999999999977,22.399999999999977,right
4003253,2448190387,35,134.7000417860554,150.1753581661891,22.399999999999977,22.399999999999977,left
4646740,3201256954,15,170.74099547511312,249.79981900452486,26.879999999999995,26.879999999999995,left
4646740,3201256954,16,221.8770731707317,250.64362369337977,26.879999999999995,26.879999999999995,right
4646740,3201256954,22,221.8770731707317,241.2777700348432,26.879999999999995,26.880000000000024,right
4646740,3201256954,22,187.5373755656109,243.42877828054299,26.879999999999995,26.879999999999995,right
4646740,3201256954,28,191.0124886877828,239.37447963800903,26.879999999999995,26.880000000000024,right
4646740,3201256954,29,220.53909407665503,239.93979094076653,26.879999999999995,26.880000000000024,right
4646740,3201256954,34,209.1662717770035,250.64362369337977,26.879999999999995,26.879999999999995,right
4646740,3201256954,34,175.37447963800903,248.0622624434389,26.879999999999995,26.879999999999995,left
4646740,3201256954,40,195.78648083623693,266.69937282229967,26.879999999999995,26.879999999999995,right
4646740,3201256954,40,159.15728506787332,271.8088687782805,26.879999999999995,26.879999999999995,left
7143189,1951927562,1,199.289203539823,194.701592920354,26.879999999999995,26.879999999999995,right
7143189,1951927562,2,161.87535247093024,197.31348837209305,26.879999999999995,26.879999999999995,left
7143189,1951927562,6,197.25026548672565,187.2254867256637,26.879999999999995,26.879999999999995,right
7143189,1951927562,7,159.79163154069767,186.2995348837209,26.879999999999995,26.879999999999995,left
7143189,1951927562,11,196.57061946902652,180.42902654867257,26.879999999999995,26.879999999999995,right
7143189,1951927562,11,161.28000363372092,181.5367441860465,26.879999999999995,26.879999999999995,left
7143189,1951927562,16,191.1334513274336,179.74938053097344,26.879999999999995,26.879999999999995,right
7143189,1951927562,17,158.60093386627906,181.8344186046512,26.879999999999995,26.879999999999995,left
